longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.48,34.25,35.0,1865.0,335.0,1074.0,337.0,51068.0,223300.0,<1H OCEAN
-117.89,33.74,32.0,1562.0,365.0,2145.0,347.0,29167.0,158400.0,<1H OCEAN
-120.87,39.18,25.0,2691.0,598.0,964.0,373.0,39196.0,142700.0,INLAND
-117.76,34.06,30.0,1700.0,504.0,1719.0,459.0,22270.0,91900.0,INLAND
-121.06,38.51,6.0,6873.0,959.0,2354.0,931.0,68869.0,263100.0,INLAND
-118.54,34.22,35.0,1664.0,300.0,1000.0,309.0,46731.0,224100.0,<1H OCEAN
-121.87,37.4,16.0,1767.0,268.0,1061.0,280.0,69584.0,351600.0,<1H OCEAN
-118.21,34.09,37.0,1822.0,498.0,1961.0,506.0,19881.0,159200.0,<1H OCEAN
-120.37,38.23,13.0,4401.0,829.0,924.0,383.0,26942.0,123500.0,INLAND
-120.19,39.32,16.0,1536.0,298.0,646.0,208.0,23594.0,155700.0,INLAND
-117.9,34.07,36.0,1009.0,164.0,466.0,149.0,58519.0,249400.0,<1H OCEAN
-124.16,40.79,52.0,1264.0,277.0,591.0,284.0,17778.0,76900.0,NEAR OCEAN
-121.93,37.74,16.0,3326.0,419.0,1272.0,402.0,68806.0,343500.0,<1H OCEAN
-119.74,34.44,27.0,1251.0,282.0,503.0,283.0,28000.0,353000.0,NEAR OCEAN
-118.36,34.11,35.0,3946.0,695.0,1361.0,620.0,65195.0,500001.0,<1H OCEAN
-122.18,37.78,50.0,1642.0,322.0,713.0,284.0,32984.0,160700.0,NEAR BAY
-116.98,32.85,12.0,3570.0,713.0,3321.0,666.0,40881.99999999999,134500.0,<1H OCEAN
-118.29,34.02,21.0,1641.0,491.0,1526.0,453.0,20870.000000000004,141300.0,<1H OCEAN
-117.68,35.62,30.0,2994.0,741.0,1481.0,581.0,21458.0,52400.0,INLAND
-116.9,32.9,19.0,3090.0,552.0,1621.0,520.0,40805.99999999999,189200.0,<1H OCEAN
-122.3,37.9,37.0,2125.0,489.0,912.0,462.0,29219.0,217200.0,NEAR BAY
-117.89,33.71,24.0,4365.0,804.0,2663.0,753.0,45814.0,233300.0,<1H OCEAN
-121.35,38.4,11.0,2322.0,459.0,1373.0,424.0,31750.0,94400.0,INLAND
-119.83,36.54,31.0,1732.0,332.0,979.0,294.0,25208.0,60000.0,INLAND
-117.19,33.69,3.0,6484.0,1037.0,3295.0,1074.0,45881.0,136400.0,<1H OCEAN
